trial_number,value,state,best_iter,duration_minutes,num_leaves,learning_rate,min_data_in_leaf,feature_fraction,bagging_fraction,num_boost_round,early_stopping_rounds
0,981120000.0,COMPLETE,,,231,0.056054026879317764,259,0.46302854071659755,1.0,10000,50
1,981600000.0,COMPLETE,,,663,0.056874440939324866,1587,0.30899131049141404,1.0,10000,50
2,981600000.0,COMPLETE,,,1368,0.08544232819919141,1160,0.6710200255756463,1.0,10000,50
3,981600000.0,COMPLETE,,,921,0.0613179352499534,755,0.3688472947851918,1.0,10000,50
4,981600000.0,COMPLETE,,,348,0.07214119176053876,1227,0.587407181377431,1.0,10000,50
5,981600000.0,COMPLETE,,,299,0.099629560521495,1714,0.5075491837704247,1.0,10000,50
6,981600000.0,COMPLETE,,,1322,0.09487587376951585,1702,0.559941784992186,1.0,10000,50
7,980000000.0,COMPLETE,,,646,0.04359189754027562,313,0.5970036856660796,1.0,10000,50
8,981600000.0,COMPLETE,,,141,0.0959316428530431,318,0.6014456320458537,1.0,10000,50
9,981600000.0,COMPLETE,,,1242,0.053134779968192034,1000,0.67938134371851,1.0,10000,50
10,980800000.0,COMPLETE,,,464,0.04616388860872717,667,0.26104234719487845,1.0,10000,50
11,981600000.0,COMPLETE,,,242,0.07684457906440853,240,0.6343415208132311,1.0,10000,50
12,981600000.0,COMPLETE,,,1454,0.08721009842372805,1082,0.6435757977749663,1.0,10000,50
13,981280000.0,COMPLETE,,,972,0.03810449287431357,907,0.5549623169739646,1.0,10000,50
14,981600000.0,COMPLETE,,,1199,0.038786343480467236,500,0.7993864670344447,1.0,10000,50
15,979520000.0,COMPLETE,,,840,0.04452029715641299,1649,0.05485585301647946,1.0,10000,50
16,981280000.0,COMPLETE,,,1467,0.03872010216747014,1701,0.5245950340629535,1.0,10000,50
17,980960000.0,COMPLETE,,,1285,0.05351308785660181,33,0.24547765766688698,1.0,10000,50
18,981600000.0,COMPLETE,,,705,0.04585901876907192,1571,0.4433919989775824,1.0,10000,50
19,978400000.0,COMPLETE,,,228,0.014521696990603464,366,0.07111948663755983,1.0,10000,50
20,981600000.0,COMPLETE,,,1280,0.05764260111027614,462,0.920741668845233,1.0,10000,50
21,981600000.0,COMPLETE,,,1065,0.04920066372306113,1014,0.6843151624432487,1.0,10000,50
22,981600000.0,COMPLETE,,,863,0.00821697644288926,464,0.9447780909870354,1.0,10000,50
23,981600000.0,COMPLETE,,,1334,0.004855949282008121,1475,0.9514609529849278,1.0,10000,50
24,981600000.0,COMPLETE,,,1016,0.053763463207970666,1426,0.4910804914652356,1.0,10000,50
25,981600000.0,COMPLETE,,,975,0.08225231535468322,1652,0.4263838854646244,1.0,10000,50
26,981280000.0,COMPLETE,,,1053,0.07918846832232508,1697,0.06677524866375982,1.0,10000,50
27,981600000.0,COMPLETE,,,845,0.012544981390167246,270,0.961751617960117,1.0,10000,50
28,981600000.0,COMPLETE,,,867,0.06119844001860891,1517,0.7770685600363271,1.0,10000,50
29,981600000.0,COMPLETE,,,645,0.07879114071360875,1983,0.1936147835174465,1.0,10000,50
30,981600000.0,COMPLETE,,,646,0.06813291401437407,1895,0.33086895302714814,1.0,10000,50
31,981600000.0,COMPLETE,,,526,0.06831081970017194,741,0.3373247288038977,1.0,10000,50
32,981600000.0,COMPLETE,,,720,0.06703405007807375,1927,0.2747044113310403,1.0,10000,50
33,981600000.0,COMPLETE,,,553,0.07151957441484533,1908,0.3125945602716713,1.0,10000,50
34,981600000.0,COMPLETE,,,536,0.071591430582528,1971,0.3056829761659775,1.0,10000,50
35,981600000.0,COMPLETE,,,564,0.06771141319024285,1939,0.3514699969884439,1.0,10000,50
36,981600000.0,COMPLETE,,,537,0.06625892722213811,1963,0.3446468121400419,1.0,10000,50
37,981600000.0,COMPLETE,,,508,0.026695391299863203,1239,0.2179392176604615,1.0,10000,50
38,981120000.0,COMPLETE,,,472,0.024714820633308116,737,0.3584036958554067,1.0,10000,50
39,980640000.0,COMPLETE,,,1130,0.029693268638776527,66,0.16192797721822152,1.0,10000,50
40,981600000.0,COMPLETE,,,414,0.06205748751004958,1304,0.40432189418098996,1.0,10000,50
41,981600000.0,COMPLETE,,,409,0.08776722695140078,1271,0.41371676075778,1.0,10000,50
42,980480000.0,COMPLETE,,,432,0.08833748208977715,21,0.7472743355451308,1.0,10000,50
43,981600000.0,COMPLETE,,,391,0.09025270463606443,1286,0.41126066343035594,1.0,10000,50
44,981600000.0,COMPLETE,,,393,0.08886579688500347,1288,0.3915532712400046,1.0,10000,50
45,981600000.0,COMPLETE,,,401,0.08449243361504064,1304,0.408702791150257,1.0,10000,50
46,981600000.0,COMPLETE,,,360,0.08919808281733502,1212,0.15274690889515746,1.0,10000,50
47,981600000.0,COMPLETE,,,1170,0.09905829087342348,833,0.7860627366047803,1.0,10000,50
48,981600000.0,COMPLETE,,,316,0.09235588730523106,833,0.7389728805346011,1.0,10000,50
49,981440000.0,COMPLETE,,,1402,0.09965975595178142,55,0.7435295666008501,1.0,10000,50
